0.541000,0.0037,-0.0471,1.0412,1.042
0.546000,0.0045,-0.0448,1.0488,1.050
0.551000,0.0053,-0.0424,1.0499,1.051
0.555000,0.0049,-0.0410,1.0376,1.038
0.560000,0.0067,-0.0446,1.0189,1.020
0.565000,0.0041,-0.0474,0.9993,1.000
0.570000,0.0045,-0.0504,0.9848,0.986
0.575000,0.0022,-0.0540,0.9745,0.976
0.580000,0.0015,-0.0560,0.9671,0.969
0.584000,0.0038,-0.0562,0.9716,0.973
0.589000,0.0079,-0.0553,0.9838,0.985
0.594000,0.0049,-0.0587,0.9952,0.997
0.599000,0.0007,-0.0615,1.0045,1.006
0.604000,-0.0000,-0.0615,1.0134,1.015
0.609000,-0.0021,-0.0571,1.0176,1.019
0.614000,-0.0046,-0.0538,1.0231,1.024
0.618000,-0.0068,-0.0519,1.0274,1.029
0.623000,-0.0087,-0.0479,1.0318,1.033
0.629000,-0.0088,-0.0465,1.0359,1.037
0.633000,-0.0092,-0.0472,1.0364,1.038
0.638000,-0.0110,-0.0487,1.0330,1.034
0.643000,-0.0121,-0.0490,1.0191,1.020
0.648000,-0.0103,-0.0472,0.9979,0.999
0.652000,-0.0082,-0.0449,0.9808,0.982
0.657000,-0.0051,-0.0455,0.9748,0.976
0.663000,-0.0033,-0.0511,0.9773,0.979
0.667000,-0.0048,-0.0578,0.9782,0.980
0.672000,-0.0031,-0.0565,0.9756,0.977
0.677000,0.0029,-0.0525,0.9704,0.972
0.682000,0.0071,-0.0536,0.9688,0.970
0.686000,0.0107,-0.0525,0.9748,0.976
0.691000,0.0159,-0.0529,0.9786,0.980
0.697000,0.0222,-0.0502,0.9828,0.984
0.701000,0.0270,-0.0464,0.9829,0.984
0.706000,0.0337,-0.0442,0.9834,0.985
0.711000,0.0378,-0.0429,0.9862,0.988
0.716000,0.0397,-0.0437,0.9894,0.991
0.720000,0.0413,-0.0442,0.9979,1.000
0.725000,0.0389,-0.0443,1.0052,1.007
0.735000,0.0395,-0.0457,1.0127,1.015
0.740000,0.0375,-0.0441,1.0099,1.012
0.744000,0.0310,-0.0456,1.0045,1.006
0.750000,0.0275,-0.0445,0.9974,0.999
0.754000,0.0232,-0.0467,0.9847,0.986
0.759000,0.0169,-0.0467,0.9714,0.973
0.764000,0.0106,-0.0484,0.9640,0.965
0.769000,0.0056,-0.0484,0.9602,0.961
0.774000,0.0021,-0.0500,0.9653,0.967
0.779000,0.0014,-0.0519,0.9778,0.979
0.783000,0.0028,-0.0510,0.9913,0.993
0.788000,0.0013,-0.0524,1.0002,1.002
0.793000,0.0004,-0.0535,1.0059,1.007
0.798000,0.0000,-0.0548,1.0083,1.010
0.803000,-0.0009,-0.0544,1.0069,1.008
0.808000,-0.0021,-0.0536,1.0019,1.003
0.813000,-0.0045,-0.0550,0.9983,1.000
0.818000,-0.0057,-0.0564,0.9950,0.997
0.822000,-0.0065,-0.0575,0.9935,0.995
0.827000,-0.0083,-0.0566,0.9975,0.999
0.832000,-0.0097,-0.0546,1.0050,1.007
0.837000,-0.0077,-0.0555,1.0135,1.015
0.842000,-0.0054,-0.0563,1.0188,1.020
0.847000,-0.0058,-0.0555,1.0206,1.022
0.851000,-0.0040,-0.0525,1.0204,1.022
0.856000,-0.0019,-0.0502,1.0182,1.019
0.861000,0.0021,-0.0502,1.0164,1.018
0.866000,0.0048,-0.0482,1.0131,1.014
0.871000,0.0087,-0.0477,1.0116,1.013
0.875000,0.0099,-0.0486,1.0090,1.010
0.881000,0.0111,-0.0481,1.0067,1.008
0.885000,0.0125,-0.0485,1.0052,1.006
0.890000,0.0141,-0.0496,0.9992,1.001
0.895000,0.0155,-0.0519,0.9938,0.995
0.900000,0.0180,-0.0540,0.9884,0.990
0.905000,0.0168,-0.0532,0.9829,0.984
0.910000,0.0184,-0.0539,0.9784,0.980
0.915000,0.0186,-0.0579,0.9800,0.982
0.919000,0.0191,-0.0575,0.9848,0.987
0.924000,0.0176,-0.0594,0.9925,0.994
0.934000,0.0190,-0.0606,1.0015,1.004
0.939000,0.0178,-0.0597,1.0085,1.010
0.943000,0.0174,-0.0615,1.0164,1.018
0.949000,0.0179,-0.0632,1.0192,1.021
0.953000,0.0163,-0.0605,1.0211,1.023
0.958000,0.0152,-0.0627,1.0170,1.019
0.963000,0.0140,-0.0614,1.0137,1.016
0.968000,0.0134,-0.0569,1.0076,1.009
0.972000,0.0145,-0.0567,1.0007,1.002
0.977000,0.0122,-0.0558,0.9944,0.996
0.982000,0.0133,-0.0551,0.9916,0.993
0.987000,0.0177,-0.0537,0.9915,0.993
0.992000,0.0208,-0.0528,0.9942,0.996
0.997000,0.0237,-0.0511,0.9966,0.998
1.002000,0.0260,-0.0487,0.9993,1.001
1.007000,0.0303,-0.0481,0.9981,1.000
1.011000,0.0348,-0.0471,0.9949,0.997
1.016000,0.0371,-0.0453,0.9922,0.994
1.021000,0.0379,-0.0440,0.9909,0.993
1.026000,0.0381,-0.0429,0.9939,0.996
1.031000,0.0382,-0.0427,0.9962,0.998
1.036000,0.0380,-0.0432,0.9953,0.997
1.040000,0.0367,-0.0418,0.9960,0.998
1.046000,0.0339,-0.0413,0.9949,0.996
1.050000,0.0304,-0.0405,0.9923,0.994
1.055000,0.0254,-0.0414,0.9914,0.993
1.060000,0.0187,-0.0446,0.9943,0.995
1.065000,0.0103,-0.0449,0.9978,0.999
1.070000,0.0011,-0.0450,0.9983,0.999
1.074000,-0.0047,-0.0483,1.0009,1.002
1.080000,-0.0096,-0.0505,0.9977,0.999
1.084000,-0.0144,-0.0501,0.9900,0.991
1.089000,-0.0188,-0.0509,0.9844,0.986
